playerID,H,2B,3B,HR,RBI,R,BB,SO,GIDP,IBB,HBP,SB,CS,AB,PA,AVG,OBP,SLG,OPS,ISO,wOBA,wRAA,K%,BB%,K:BB,BABIP,,,,,,
stewach01,68,11,0,4,26,28,25,52,6,1,4,3,1,275,311,0.247,0.319,0.331,0.650,0.084,0.295,-3.6,16.72%,8.04%,2.08,0.292,,,,,,
stewaia01,49,9,3,6,24,25,20,58,5,2,2,3,2,213,236,0.230,0.302,0.385,0.687,0.155,0.307,-0.6,24.58%,8.47%,2.90,0.289,,,,,,
stubbdr01,104,20,3,13,44,64,38,135,4,1,2,19,4,416,460,0.250,0.316,0.406,0.722,0.156,0.319,3.4,29.35%,8.26%,3.55,0.340,,,,,,
stulter01,46,9,1,5,22,23,15,40,4,1,1,3,1,179,200,0.257,0.318,0.402,0.720,0.145,0.320,1.5,20.00%,7.50%,2.67,0.306,,,,,,
suareeu01,76,14,1,7,33,41,28,79,5,2,5,5,2,302,339,0.252,0.325,0.374,0.700,0.123,0.315,1.2,23.30%,8.26%,2.82,0.319,,,,,,
sucreje01,53,10,1,4,24,23,16,48,5,1,2,3,1,214,235,0.248,0.306,0.360,0.666,0.112,0.298,-2.2,20.43%,6.81%,3.00,0.302,,,,,,
susacan01,59,14,1,7,33,30,20,58,4,1,2,3,1,225,248,0.262,0.328,0.427,0.755,0.164,0.334,4.6,23.39%,8.06%,2.90,0.325,,,,,,
susdost01,46,10,1,5,22,23,16,40,5,1,2,3,1,181,201,0.254,0.322,0.403,0.725,0.149,0.322,1.9,19.90%,7.96%,2.50,0.301,,,,,,
suttodr01,47,12,1,5,22,23,15,46,3,1,2,3,1,182,200,0.258,0.322,0.418,0.739,0.159,0.327,2.7,23.00%,7.50%,3.07,0.321,,,,,,
suzukic01,112,16,3,5,32,47,22,59,6,3,1,15,3,418,448,0.268,0.306,0.356,0.663,0.089,0.296,-5.0,13.17%,4.91%,2.68,0.302,,,,,,
suzukku01,113,26,1,7,54,41,32,65,7,3,6,3,1,437,483,0.259,0.318,0.371,0.689,0.112,0.309,-0.5,13.46%,6.63%,2.03,0.290,,,,,,
sweenry01,79,19,2,6,31,35,25,59,5,1,2,2,1,304,334,0.260,0.320,0.395,0.715,0.135,0.317,1.9,17.66%,7.49%,2.36,0.305,,,,,,
swishni01,99,23,1,14,53,50,50,107,8,2,2,2,1,408,464,0.243,0.328,0.407,0.735,0.164,0.328,6.4,23.06%,10.78%,2.14,0.296,,,,,,
szczuma01,53,10,1,6,24,26,18,47,5,1,2,3,1,212,233,0.250,0.315,0.392,0.706,0.142,0.314,0.8,20.17%,7.73%,2.61,0.296,,,,,,
tabatjo01,80,15,3,5,29,35,23,54,9,1,4,5,4,296,327,0.270,0.331,0.392,0.723,0.122,0.322,3.0,16.51%,7.03%,2.35,0.316,,,,,,
tanakke01,47,8,1,5,21,23,17,37,4,1,1,4,1,182,203,0.258,0.325,0.396,0.721,0.137,0.321,1.8,18.23%,8.37%,2.18,0.300,,,,,,
taveros01,75,13,1,6,33,31,22,60,10,1,2,3,2,299,324,0.251,0.307,0.361,0.668,0.110,0.298,-3.0,18.52%,6.79%,2.73,0.296,,,,,,
tayloch03,67,14,1,4,25,31,22,64,6,1,3,6,2,249,276,0.269,0.336,0.382,0.717,0.112,0.321,2.4,23.19%,7.97%,2.91,0.348,,,,,,
taylomi01,47,9,1,4,19,23,19,48,5,1,2,3,1,197,219,0.239,0.312,0.355,0.667,0.117,0.300,-1.7,21.92%,8.68%,2.53,0.297,,,,,,
taylomi02,50,11,1,5,25,26,18,53,5,1,2,3,3,200,222,0.250,0.318,0.390,0.708,0.140,0.316,1.0,23.87%,8.11%,2.94,0.317,,,,,,
teagata01,45,9,1,6,25,21,16,51,4,1,1,3,1,201,221,0.224,0.284,0.368,0.653,0.144,0.291,-3.4,23.08%,7.24%,3.19,0.271,,,,,,
teixema01,93,17,1,18,61,52,47,90,10,3,5,3,1,401,460,0.232,0.320,0.414,0.734,0.182,0.328,6.3,19.57%,10.22%,1.91,0.256,,,,,,
tejadmi01,52,8,1,5,23,22,14,37,5,1,1,2,1,198,217,0.263,0.315,0.389,0.703,0.126,0.313,0.5,17.05%,6.45%,2.64,0.301,,,,,,
tejadru01,98,19,0,5,33,42,38,73,8,5,5,4,3,385,432,0.255,0.329,0.343,0.672,0.088,0.307,-1.0,16.90%,8.80%,1.92,0.303,,,,,,
tekotbl01,46,9,1,5,21,23,17,43,4,1,2,4,3,183,204,0.251,0.322,0.393,0.715,0.142,0.319,1.4,21.08%,8.33%,2.53,0.304,,,,,,
telisto01,55,10,1,5,26,26,16,46,5,1,2,3,1,216,236,0.255,0.312,0.380,0.692,0.125,0.308,-0.3,19.49%,6.78%,2.88,0.303,,,,,,
terdojo01,48,11,1,4,21,25,20,47,4,1,2,3,1,192,215,0.250,0.327,0.380,0.707,0.130,0.317,1.2,21.86%,9.30%,2.35,0.312,,,,,,
thameer01,46,9,1,6,21,22,14,50,5,1,1,3,1,183,200,0.251,0.308,0.410,0.718,0.158,0.318,1.2,25.00%,7.00%,3.57,0.315,,,,,,
theriry01,48,9,1,3,19,23,15,32,5,1,1,5,2,181,200,0.265,0.325,0.376,0.701,0.110,0.313,0.5,16.00%,7.50%,2.13,0.308,,,,,,
tholejo01,62,11,1,3,22,26,25,51,8,2,1,2,2,259,289,0.239,0.309,0.324,0.633,0.085,0.288,-5.0,17.65%,8.65%,2.04,0.288,,,,,,
thomacl02,49,11,0,5,18,27,20,59,4,1,2,2,2,209,232,0.234,0.307,0.359,0.666,0.124,0.300,-1.9,25.43%,8.62%,2.95,0.303,,,,,,
thomeji01,45,8,1,6,22,21,18,45,5,2,1,2,1,178,200,0.253,0.325,0.410,0.735,0.157,0.328,2.9,22.50%,9.00%,2.50,0.307,,,,,,
thompri02,45,9,1,5,21,24,15,39,4,1,2,6,2,180,200,0.250,0.315,0.394,0.709,0.144,0.316,0.9,19.50%,7.50%,2.60,0.294,,,,,,
tollest01,66,12,2,6,29,32,21,67,6,1,2,5,2,267,295,0.247,0.307,0.375,0.681,0.127,0.303,-1.5,22.71%,7.12%,3.19,0.309,,,,,,
torrean02,50,11,2,3,20,25,21,46,5,1,1,5,2,205,230,0.244,0.317,0.361,0.678,0.117,0.304,-1.0,20.00%,9.13%,2.19,0.301,,,,,,
torreyo01,48,9,0,4,20,20,17,37,4,1,2,2,1,198,220,0.242,0.309,0.348,0.657,0.106,0.296,-2.4,16.82%,7.73%,2.18,0.280,,,,,,
tovarwi01,46,9,1,5,23,23,17,41,5,2,2,4,1,182,203,0.253,0.323,0.396,0.719,0.143,0.322,1.9,20.20%,8.37%,2.41,0.301,,,,,,
tracych01,47,10,1,6,22,19,16,39,4,2,1,2,2,195,214,0.241,0.302,0.395,0.697,0.154,0.310,0.1,18.22%,7.48%,2.44,0.273,,,,,,
treanma01,42,8,1,5,20,22,17,40,4,2,2,3,1,177,200,0.237,0.311,0.379,0.690,0.141,0.310,0.0,20.00%,8.50%,2.35,0.280,,,,,,
triunca01,46,9,1,5,22,23,15,46,4,1,2,3,1,193,213,0.238,0.300,0.373,0.673,0.135,0.300,-1.6,21.60%,7.04%,3.07,0.289,,,,,,
troutmi01,164,34,7,28,92,107,80,148,8,6,8,27,4,534,624,0.307,0.405,0.554,0.959,0.247,0.419,53.3,23.72%,12.82%,1.85,0.380,,,,,,
